"field","react","react_keys","ember","ember_keys","ember2","ember2_keys","incrementaldom","incrementaldom_keys","angular1","angular1_trackby","angular2","mithril","mithril_keys","virtualdom","virtualdom_keys","citojs","citojs_keys"
"MajorGC",25.483999979496,21.302400016784667,368.3061999976635,3.607000005245209,410.24280000925063,0.4315999984741211,3.9726000010967253,3.239200013875961,643.0391999900341,24.174000006914138,16.370000010728837,61.87540003657341,70.47519987821579,28.936999946832657,28.635999995470048,27.829399967193602,27.189799982309342
"MinorGC",314.86859995126724,263.135399967432,835.6571999788284,282.757200050354,833.450200009346,227.0227999806404,66.15939999222755,67.91819999217986,1724.0773999333383,511.89900009036063,485.4899999558926,506.01540006399154,552.1999999642372,497.82840009331704,456.338000035286,174.46720001101494,163.93699999451638
"Layout",1367.238000112772,1493.6104000270366,352.0246000170708,749.6960000276565,393.0436000108719,776.0071999371052,1983.0122001111508,2003.9400000929832,393.9413999915123,324.0931999862194,285.37419999837874,944.2917999565601,996.1312000036239,1671.907799965143,1594.2711999595165,2121.0723999738693,2066.1894001722335
"Paint",379.1913999736309,267.2038000166416,156.83879997730256,328.36679995059967,174.24860005378724,340.8325998902321,1052.052000015974,988.7806000351906,81.38299998044968,82.03939994573594,74.57620002031327,471.51220002174375,498.92139996886254,693.3295999765396,706.8608001291752,983.2907999753952,992.3668000221253
"mean_frame_time",19.98807557037493,20.805056383884875,21.620142672439812,19.283928722568287,22.69122996173887,19.958066244937708,19.024422425834782,19.039703747205216,34.0440962714169,20.69026849983196,21.503493516758947,18.28658102094669,19.765833277802027,20.46833554381444,20.351034978518097,19.069307030984174,19.14589840186838
"droppedFrameCount",661.6,627,654,618.2,688.8,649,529.4,532.4,1177,568.6,611.4,578.4,645.4,653.4,595.2,498.4,530.2
"ExpensivePaints",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ExpensiveEventHandlers",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NodePerLayout_avg",4010.0129139769997,4007.747231625498,5410.244177740864,5806.2366241018735,5412.382769423559,5807.002289736408,3008.480663133845,3007.5662914214995,4004.7052242926156,4205.956226708075,4015.120252525252,3007.6201772273175,3006.92796682882,3006.817537906388,3007.8791904645814,3007.6219784440295,3007.503380642159
"frames_per_sec",50.45397959803417,48.25237889636899,46.434703901074826,52.21729832884203,44.18234940840076,50.611421798752914,52.56817325547761,52.52247620684341,29.572363448984014,48.59605330692848,46.79234291748186,54.69307595104302,50.87390934084541,48.85925176168371,49.13814751237369,52.44334958861507,52.23301726098775
"percentage_smooth",66.14783622604988,53.79323913590404,74.52004077872962,74.27348908986507,72.02331347409067,72.95639166570412,63.35194396793131,62.26806574150858,38.56616394603922,35.51351756036591,33.46185974454316,73.39418117232398,68.51474759571119,64.94131323458939,65.47393234474262,62.52630527172416,61.80856517837426
"domReadyTime",30,29.8,455.2,461.8,460.4,451.8,28.4,27.2,451.2,418,31.8,25.4,24.6,27.4,26.8,27,29.2
"totalJSHeapSize_max",59040000,59800000,143000000,86400000,142600000,76600000,31200000,31580000,116400000,75720000,76600000,70520000,69680000,56800000,56800000,48600000,46860000
"totalJSHeapSize_avg",59040000,59800000,143000000,86400000,142600000,76600000,31200000,31580000,116400000,75720000,76600000,70520000,69680000,56800000,56800000,48600000,46860000
"usedJSHeapSize_max",31980000,32180000,115000000,59600000,116000000,50400000,14520000,15740000,70260000,49220000,47540000,38820000,38900000,20500000,17940000,13520000,17460000
"usedJSHeapSize_avg",31980000,32180000,115000000,59600000,116000000,50400000,14520000,15740000,70260000,49220000,47540000,38820000,38900000,20500000,17940000,13520000,17460000
"Javascript",6178.629200071096,6066.617599886656,7776.709999990463,5302.6094000041485,8079.953400027752,5511.826999896764,2934.4214000046254,3014.286200064421,14339.48299998045,7895.655600094795,7888.599400085211,5166.494400024414,5927.237599802017,5331.461200129986,5272.8232000947,3023.2859998822214,3115.459600108862
